column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
bfcl/bfcl-live-multiple-344-133-8,26,0,0.0,0.8384615384615385,0.28294729473460806,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
bfcl/bfcl-live-multiple-350-133-14,26,0,0.0,0.9769230769230769,0.08461538461538463,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538463,0,0
bfcl/bfcl-live-multiple-404-140-0,26,0,0.0,0.8999999999999999,0.21661735138967267,1.0,0.8500000000000001,1.0,0.0,1.0,identity,1.0,0.1499999999999999,0,0
bfcl/bfcl-live-multiple-437-142-3,26,0,0.0,0.9769230769230769,0.08461538461538463,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538463,0,0
bfcl/bfcl-live-multiple-447-144-7,26,0,0.0,0.9769230769230769,0.08461538461538463,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538463,0,0
bfcl/bfcl-live-multiple-470-145-21,26,0,0.0,0.9615384615384616,0.12427303401079623,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.12427303401079623,0,0
bfcl/bfcl-live-multiple-48-18-3,26,0,0.0,0.9846153846153847,0.05329387100211929,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.05329387100211929,0,0
bfcl/bfcl-live-multiple-538-152-0,26,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
bfcl/bfcl-live-multiple-563-155-3,26,0,0.0,0.18461538461538465,0.3504857153813698,0.0,0.0,0.15000000000000002,0.0,1.0,identity,0.0,0.15000000000000002,0,0
bfcl/bfcl-live-multiple-584-157-5,26,0,0.0,0.43846153846153846,0.3595691043852382,0.30000000000000004,0.2,0.8,0.0,1.0,identity,0.30000000000000004,0.6000000000000001,0,0
bfcl/bfcl-live-multiple-591-157-12,26,0,0.0,0.9615384615384616,0.12427303401079624,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.12427303401079624,0,0
bfcl/bfcl-live-multiple-671-162-13,26,0,0.0,0.8384615384615386,0.298814224608539,1.0,0.8500000000000001,1.0,0.0,1.0,identity,1.0,0.1499999999999999,0,0
bfcl/bfcl-live-multiple-678-163-3,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
bfcl/bfcl-live-multiple-685-164-1,26,0,0.0,0.3153846153846154,0.39680678081627485,0.1,0.0,0.6,0.0,1.0,identity,0.1,0.6,0,0
bfcl/bfcl-live-multiple-705-164-21,26,0,0.0,0.9538461538461539,0.13931361750980642,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.13931361750980642,0,0
bfcl/bfcl-live-multiple-712-164-28,26,0,0.0,0.9230769230769231,0.1671196998646187,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.1671196998646187,0,0
bfcl/bfcl-live-multiple-717-165-4,26,0,0.0,0.25384615384615383,0.3488781683214944,0.2,0.0,0.2,0.0,1.0,identity,0.2,0.2,0,0
bfcl/bfcl-live-multiple-723-165-10,26,0,0.0,0.776923076923077,0.2899704126918579,1.0,0.6,1.0,0.0,1.0,identity,1.0,0.4,0,0
bfcl/bfcl-live-multiple-733-167-4,26,0,0.0,0.2692307692307692,0.3677051816220652,0.0,0.0,0.4,0.0,1.0,identity,0.0,0.4,0,0
bfcl/bfcl-live-multiple-749-169-4,26,0,0.0,0.9461538461538461,0.11842157167954347,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.11842157167954347,0,0
bfcl/bfcl-live-multiple-751-169-6,26,0,0.0,0.9615384615384616,0.15708136812817025,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.15708136812817025,0,0
bfcl/bfcl-live-multiple-83-38-0,26,0,0.0,0.7615384615384616,0.27745675072109893,0.8,0.6,1.0,0.0,1.0,identity,0.8,0.4,0,0
bfcl/bfcl-live-multiple-887-184-4,26,0,0.0,0.9538461538461538,0.10088366960464615,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10088366960464615,0,0
bfcl/bfcl-live-multiple-898-185-8,26,0,0.0,0.06153846153846154,0.22027417020425163,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.22027417020425163,0,0
