task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aime/aime_i-10,aime,aime_i-10,19,7,0.2692307692307692,0.6771929999999999,0.3442175003317402,0.0,1.0,0.674359076923077,0.01923019230769233,0.7357287776889487,0.3504899286944694,medium,0,0
aime/aime_i-11,aime,aime_i-11,19,7,0.2692307692307692,0.682456157894737,0.3216129700324294,0.0,1.0,0.7141025769230769,-0.15617713286713292,0.508783640953113,0.5975758424465594,easy,0,0
aime/aime_i-12,aime,aime_i-12,20,6,0.23076923076923078,0.73,0.36482872693909396,0.0,1.0,0.7923076923076924,-0.4615384615384616,0.7546577796459527,0.5263546800200056,easy,0,0
aime/aime_i-13,aime,aime_i-13,19,7,0.2692307692307692,0.6,0.38933141071383015,0.0,1.0,0.6538461538461537,-0.18269230769230774,0.4305502534084252,0.662545701709182,medium,0,0
aime/aime_i-14,aime,aime_i-14,19,7,0.2692307692307692,0.32894736842105265,0.3907872585441383,0.0,1.0,0.2403846153846154,0.3561253561253561,0.5400570281515606,0.35199599157954087,hard,0,0
aime/aime_i-15,aime,aime_i-15,20,6,0.23076923076923078,0.8099999999999999,0.3254228019054596,0.0,1.0,0.8538461538461538,-0.730769230769231,1.4821422206152075,0.2549644682737892,easy,0,0
aime/aime_i-2,aime,aime_i-2,19,7,0.2692307692307692,0.7842105263157895,0.2938190597786275,0.2,1.0,0.8423076923076922,-0.3942307692307692,0.6719771234483135,0.34094793074136437,easy,0,0
aime/aime_i-3,aime,aime_i-3,18,8,0.3076923076923077,0.9185184999999999,0.17715947958587733,0.333333,1.0,0.9435897307692307,-0.3184151893120942,0.8587020025019584,0.3150571793383304,easy,0,0
aime/aime_i-4,aime,aime_i-4,19,7,0.2692307692307692,0.9131578947368422,0.1890712099651164,0.4,1.0,0.9365384615384615,-0.3356488725768831,0.878792129910209,0.34907292500894976,easy,0,0
aime/aime_i-5,aime,aime_i-5,18,8,0.3076923076923077,0.8833333333333333,0.2217355782608345,0.2,1.0,0.9192307692307692,-0.5384615384615388,1.2812818203742558,0.2729296522690522,easy,0,0
aime/aime_i-6,aime,aime_i-6,18,8,0.3076923076923077,0.9055555555555554,0.18994801108087508,0.4,1.0,0.9346153846153845,-0.3442237431840034,0.8631163930944694,0.29635102587564977,easy,0,0
aime/aime_i-7,aime,aime_i-7,19,7,0.2692307692307692,0.8210526315789475,0.2457142890631549,0.2,1.0,0.8692307692307693,-0.653846153846154,1.1227286443349558,0.5614629462920782,easy,0,0
aime/aime_i-8,aime,aime_i-8,19,7,0.2692307692307692,0.8596491578947368,0.17289378532323285,0.6,1.0,0.8974359230769231,-0.3076925384617692,0.4811233172390265,0.42360690939915785,easy,0,0
aime/aime_i-9,aime,aime_i-9,19,7,0.2692307692307692,0.7052631578947368,0.3586872031384599,0.0,1.0,0.7307692307692307,-0.12587412587412594,0.5627089838961916,0.18267655328934101,easy,0,0
aime/aime_ii-1,aime,aime_ii-1,18,8,0.3076923076923077,0.8861111111111111,0.20399179964152397,0.4,1.0,0.9211538461538462,-0.525641025641026,1.1845626583892606,0.4417483682593309,easy,0,0
aime/aime_ii-10,aime,aime_ii-10,19,7,0.2692307692307692,0.878070210526316,0.20029598888659988,0.2,1.0,0.9108974615384616,-0.44551269230769236,0.8978076697896585,0.4586713138190131,easy,0,0
aime/aime_ii-11,aime,aime_ii-11,19,7,0.2692307692307692,0.8350877368421052,0.27476170083141654,0.0,1.0,0.8794871923076923,-0.6025640384615385,1.2300344474632372,0.3085259970062463,easy,0,0
aime/aime_ii-12,aime,aime_ii-12,19,7,0.2692307692307692,0.8157894736842104,0.25600813698979596,0.2,1.0,0.8653846153846154,-0.33653846153846156,0.5840109476561621,0.33654470092465305,easy,0,0
aime/aime_ii-13,aime,aime_ii-13,19,7,0.2692307692307692,0.5692982631578948,0.3726883241806952,0.0,1.0,0.5775641153846155,-0.03323834757834757,0.47242027215051846,0.5406501144090674,medium,0,0
aime/aime_ii-14,aime,aime_ii-14,19,7,0.2692307692307692,0.7131578947368421,0.39598049701547233,0.0,1.0,0.7903846153846152,-0.5240384615384616,0.9040634967816241,0.22813958953141097,easy,0,0
aime/aime_ii-15,aime,aime_ii-15,18,8,0.3076923076923077,0.6935185,0.3245671058612362,0.0,1.0,0.6878205000000001,0.03205124999999996,0.6754784349961378,0.4410002353098298,medium,0,0
