benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,observed_mean,observed_std
medagentbench,medagentbench/task7_7,task7_7,0.5556578730933344,0.44434212690666564,20,frontier,0.04,0.08
lawbench,lawbench/lawbench-2-5-19-zero-shot,lawbench-2-5-19-zero-shot,0.5582671431495095,0.44173285685049046,19,medium,0.6661552631578948,0.23654637182542634
lawbench,lawbench/lawbench-2-4-21-one-shot,lawbench-2-4-21-one-shot,0.5582671431495095,0.44173285685049046,19,medium,0.33789473684210525,0.10536048132450207
mmau,mmau/bc9a6036-2011-42af-bd0f-f1a62a69823a,bc9a6036-2011-42af-bd0f-f1a62a69823a,0.5597988100825945,0.44020118991740553,20,hard,0.09,0.11789826122551599
seal0,seal0/58,58,0.5604288415059254,0.4395711584940746,26,hard,0.0878205,0.1735475376199337
aider-polyglot,aider-polyglot/polyglot_cpp_complex-numbers,polyglot_cpp_complex-numbers,0.560947764122311,0.43905223587768905,25,saturated,0.98666668,0.06531966115449162
aime,aime/aime_80,aime_80,0.5626707302777173,0.4373292697222827,20,easy,0.9,0.21447610589527216
gaia,gaia/c365c1c7-a3db-4d5e-a9a1-66f56eae7865,c365c1c7-a3db-4d5e-a9a1-66f56eae7865,0.56328399075399,0.43671600924600995,26,medium,0.5538461538461539,0.2845114155216451
seal0,seal0/5,5,0.5633140606178719,0.4366859393821281,26,hard,0.1852564230769231,0.22741239981384093
seal0,seal0/1,1,0.5658316591408473,0.4341683408591527,26,medium,0.45384615384615373,0.3865336777354188
mmau,mmau/5e801057-97b3-4c4a-b962-8f964ce77bd2,5e801057-97b3-4c4a-b962-8f964ce77bd2,0.5661692270080688,0.4338307729919312,20,medium,0.51,0.3548238999842034
bixbench,bixbench/bix-12-q4,bix-12-q4,0.5665079699326118,0.43349203006738823,19,medium,0.40263157894736845,0.38813782285302456
mmau,mmau/9d66046d-9ad7-4fc4-a2a0-5f5a58ee0282,9d66046d-9ad7-4fc4-a2a0-5f5a58ee0282,0.5668786825853025,0.4331213174146975,20,hard,0.06,0.15620499351813308
seal0,seal0/102,102,0.5699614714167851,0.4300385285832149,26,hard,0.05,0.17813132579860633
labbench,labbench/figqa-0176,figqa-0176,0.5715597542120917,0.4284402457879083,13,hard,0.2,0.28284271247461906
crustbench,crustbench/crustbench-c-blind-rsa-signatures,crustbench-c-blind-rsa-signatures,0.5718042696931552,0.42819573030684477,22,easy,0.9181818181818183,0.16688690682441654
seal0,seal0/8,8,0.5733959833761786,0.4266040166238214,26,hard,0.1378205,0.18808285236140973
devopsgym,devopsgym/codegen__containerd__containerd-10275,codegen__containerd__containerd-10275,0.5738665184389511,0.4261334815610489,19,hard,0.05263157894736842,0.22329687826943606
devopsgym,devopsgym/testgen__spotbugs__spotbugs-2795,testgen__spotbugs__spotbugs-2795,0.5738665184389511,0.4261334815610489,19,medium,0.5789473684210527,0.49372797471825575
bfcl,bfcl/bfcl-irrelevance-15,bfcl-irrelevance-15,0.5746154599636772,0.42538454003632276,26,saturated,0.9846153846153847,0.05329387100211929
bfcl,bfcl/bfcl-live-simple-248-130-0,bfcl-live-simple-248-130-0,0.5777834909448807,0.4222165090551193,26,easy,0.8307692307692308,0.2811641058845702
swe-lancer,swe-lancer/24156-manager-0,24156-manager-0,0.5782351882747314,0.4217648117252686,17,easy,0.8588235294117647,0.19115384481496378
gaia,gaia/7619a514-5fa8-43ef-9143-83b66a43d7a4,7619a514-5fa8-43ef-9143-83b66a43d7a4,0.5783889977177904,0.4216110022822096,26,medium,0.6923076923076923,0.34743353201957583
bfcl,bfcl/bfcl-live-parallel-multiple-8-7-0,bfcl-live-parallel-multiple-8-7-0,0.5785714285714287,0.42142857142857126,26,medium,0.6923076923076923,0.3730570970148351
labbench,labbench/figqa-0171,figqa-0171,0.578983297954608,0.421016702045392,13,hard,0.0923076923076923,0.12686478848054342
aider-polyglot,aider-polyglot/polyglot_go_ledger,polyglot_go_ledger,0.5795455936146109,0.4204544063853891,25,medium,0.5660000000000001,0.3460404600621147
seal0,seal0/53,53,0.5795735069682224,0.4204264930317776,26,hard,0.14102565384615387,0.26547133539147694
aider-polyglot,aider-polyglot/polyglot_go_markdown,polyglot_go_markdown,0.5797994740990924,0.4202005259009076,25,easy,0.7759999999999999,0.273173937263422
seal0,seal0/74,74,0.5809682383794466,0.41903176162055344,26,medium,0.6012820384615385,0.3739922013007841
seal0,seal0/60,60,0.5831892544572777,0.41681074554272235,26,hard,0.1455128076923077,0.23064187037516698
swtbench,swtbench/sympy__sympy-15875,sympy__sympy-15875,0.5833756117573775,0.4166243882426225,18,medium,0.387037,0.3771872706948396
seal0,seal0/108,108,0.5844870775292679,0.4155129224707321,25,medium,0.31200000000000006,0.29975990392312307
seal0,seal0/92,92,0.5844870775292679,0.4155129224707321,26,medium,0.44999999999999996,0.3951901089630543
kumo,kumo/starconstellationenv-t4-a6-v1-s1,starconstellationenv-t4-a6-v1-s1,0.5844902113651942,0.4155097886348058,18,easy,0.8055556111111112,0.32513052934341086
gaia,gaia/72c06643-a2fa-4186-aa5c-9ec33ae9b445,72c06643-a2fa-4186-aa5c-9ec33ae9b445,0.5848765025556789,0.4151234974443211,20,hard,0.0625,0.14566657131957214
seal0,seal0/22,22,0.5861906683524709,0.4138093316475291,26,medium,0.5314102692307692,0.39514486917639147
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__0qgnxkrq,oauthlib__oauthlib.1fd52536.combine_file__0qgnxkrq,0.5876053174601439,0.4123946825398561,18,hard,0.18518516666666668,0.24196269934393927
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__dq69f6h1,oauthlib__oauthlib.1fd52536.combine_file__dq69f6h1,0.5876053174601439,0.4123946825398561,18,hard,0.05555555555555555,0.111665284679121
swebench-multilingual,swebench-multilingual/hashicorp__terraform-34900,hashicorp__terraform-34900,0.5894973698396545,0.4105026301603455,13,hard,0.07692307692307693,0.26646935501059654
seal0,seal0/71,71,0.5898922183810238,0.4101077816189762,26,hard,0.25576923076923075,0.2746770562080142
mmmlu,mmmlu/mmmlu-sw-ke-00135,mmmlu-sw-ke-00135,0.5931519052036844,0.40684809479631556,16,medium,0.5885416875,0.41191957665327683
crustbench,crustbench/crustbench-rhbloom,crustbench-rhbloom,0.5931614864983898,0.40683851350161016,26,medium,0.5378205,0.3801865808724458
featurebench-modal,featurebench-modal/pytest-dev__pytest.68016f0e.test_local.40fb2f1f.lv1,pytest-dev__pytest.68016f0e.test_local.40fb2f1f.lv1,0.5933237245555092,0.4066762754444908,13,hard,0.09871792307692308,0.160988035989521
